year,PriestRapids,RockIsland,RockyReach,Wells,Tumwater,POM_RockIsland,POM_RockyReach,POM_Tumwater,POM_Wells,diff_RockIsland,diff_RockyReach,diff_Tumwater,diff_Wells,perc_diff_RockIsland,perc_diff_RockyReach,perc_diff_Tumwater,perc_diff_Wells,in_CI_RockIsland,in_CI_RockyReach,in_CI_Tumwater,in_CI_Wells
2011,47147,41079,32781,24737,2359,48116.961716450314,46605.66862537016,26510.130442457397,42683.568273509874,969.9617164503143,-541.3313746298372,-20636.869557542603,-4463.431726490126,0.020573137558069745,-0.01148177772986271,-0.4377133127779626,-0.09467053527244843,TRUE,TRUE,FALSE,FALSE
2012,37946,34404,27790,21724,3329,42812.55951839141,41894.194190476745,47133.74580817066,36851.557095699725,4866.559518391412,3948.1941904767446,9187.745808170657,-1094.4429043002747,0.12824960518609108,0.10404770438193076,0.24212685943632153,-0.0288421152242733,FALSE,FALSE,FALSE,TRUE
2013,32151,26786,21573,16899,3504,34438.291875463496,34335.469145731615,35611.47886047765,30292.69446394441,2287.2918754634957,2184.469145731615,3460.4788604776477,-1858.3055360555918,0.07114216899827364,0.06794404981902942,0.10763207553350278,-0.05779930751938017,FALSE,FALSE,TRUE,FALSE
2014,34695,26436,19631,14893,2831,37059.67234568634,33851.40545097043,40277.334788281376,27912.68120132712,2364.67234568634,-843.5945490295708,5582.334788281376,-6782.318798672881,0.06815599785808733,-0.02431458564719904,0.16089738545269855,-0.1954840408898366,FALSE,TRUE,TRUE,FALSE
2015,33939,28802,21232,16756,3047,42866.024245189335,40000.63676438917,34231.18594766768,35135.387704964814,8927.024245189335,6061.636764389172,292.1859476676764,1196.3877049648145,0.2630314459821838,0.17860387060282187,0.00860915017141567,0.03525111832890817,FALSE,FALSE,TRUE,TRUE
2016,20778,21085,16510,13950,1945,26100.78764623702,23715.554504819418,30648.905929365555,20981.108379165806,5322.787646237019,2937.554504819418,9870.905929365555,203.10837916580567,0.256174205709742,0.14137811650877938,0.475065257934621,0.009775165038300398,FALSE,FALSE,FALSE,TRUE
2017,12279,12388,9627,8540,1032,16792.718485139638,14507.333391120705,27462.519454063684,13858.316793288705,4513.718485139638,2228.3333911207046,15183.519454063684,1579.3167932887045,0.36759658645977994,0.18147515197660272,1.236543648022126,0.12861933327540553,FALSE,FALSE,FALSE,FALSE
2018,10690,10435,8103,7634,974,12764.751045254721,11564.3957999144,12973.830431282533,11861.942046937755,2074.7510452547212,874.3957999144004,2283.830431282533,1171.9420469377546,0.19408335315759787,0.08179567819592146,0.2136417615792828,0.10962975181831194,FALSE,FALSE,TRUE,FALSE
2019,8809,9526,7450,6627,700,12798.300296604744,11030.343337718206,29997.708521830074,13389.87598325475,3989.3002966047443,2221.3433377182064,21188.708521830074,4580.875983254749,0.4528664203206657,0.25216748072632605,2.4053477718049807,0.5200222480706946,FALSE,FALSE,FALSE,FALSE
2020,10406,11035,8565,7105,985,14119.251191367919,12716.226640755538,26352.848264944016,11891.720874357137,3713.251191367919,2310.226640755538,15946.848264944016,1485.7208743571373,0.35683751598769164,0.2220090948256331,1.5324666793142432,0.14277540595398205,FALSE,FALSE,FALSE,FALSE
